,data_collected_date,channel_id,video_id,video_comment_id,video_comment_textDisplay,video_comment_textOriginal,video_comment_authorDisplayName,video_comment_canRate,video_comment_likeCount,video_comment_publishedAt_datetime,video_comment_canReply,video_comment_totalReplyCount,video_comment_isPublic,video_comment_textDisplay_sentiment
10,2024-10-26 14:15:47.045698,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgymbmIpXKMxV1P2tNN4AaABAg,tang inang budots yn ang panget nman bisaya lang nakikinig dito?,tang inang budots yn ang panget nman bisaya lang nakikinig dito?,@ErwinRivera-w8o,1,0,2024-10-17 07:27:20,1,0,1,NEGATIVE
11,2024-10-26 14:15:47.873148,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzJXBKsQPVaeS4e3sN4AaABAg,nice songs,nice songs,@TOP.DISCO.MIX.90,1,1,2024-10-15 09:58:30,1,1,1,POSITIVE
12,2024-10-26 14:15:49.544008,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzOV5QXzcBmZwzu5Pt4AaABAg,"Ibang bansa kc right hand drive,ganda ng daan nkakaaliw na tugtugin sarap bumyahe at maglibot","Ibang bansa kc right hand drive,ganda ng daan nkakaaliw na tugtugin sarap bumyahe at maglibot",@eiljayadona,1,2,2024-10-15 01:28:41,1,1,1,NEGATIVE
13,2024-10-26 14:15:51.268946,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxaGjmkwuQVxORYXbt4AaABAg,Christmas song,Christmas song,@RaquelCarpina,1,1,2024-10-14 23:27:46,1,0,1,POSITIVE
14,2024-10-26 14:15:51.952481,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxDSnz5GoAjubai-yN4AaABAg,"Ang ganda ng tugtog talagang nakakarelaxs,","Ang ganda ng tugtog talagang nakakarelaxs,",@NickeyManubay,1,0,2024-10-14 22:11:43,1,1,1,NEGATIVE
15,2024-10-26 14:15:53.593577,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxIdXRlTVvp1Z3BprV4AaABAg,ok ang music...very nice.,ok ang music...very nice.,@JBALFARO,1,2,2024-10-14 13:40:45,1,1,1,POSITIVE
16,2024-10-26 14:15:55.165078,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugwn9PVxOvn_UKARUSx4AaABAg,🎉🎉🎉,🎉🎉🎉,@hzcchslyj,1,1,2024-10-13 12:35:49,1,0,1,NEGATIVE
17,2024-10-26 14:15:55.826401,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugwe5snd2sDopmM1OMd4AaABAg,❤Salamat this music ang ganda 💞good job,❤Salamat this music ang ganda 💞good job,@tessnakamura3594,1,1,2024-10-13 09:29:51,1,1,1,POSITIVE
18,2024-10-26 14:15:57.552686,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyzuryMPDf1KOFfQ1p4AaABAg,Sarap ulit ulitin ang tugtog na to,Sarap ulit ulitin ang tugtog na to,@bethpunzalan,1,1,2024-10-13 09:20:57,1,1,1,NEGATIVE
19,2024-10-26 14:15:59.209819,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyyYXIFfN2qjJz2fnF4AaABAg,❤❤❤,❤❤❤,@AmorRoma-k4j,1,1,2024-10-13 05:51:19,1,0,1,NEGATIVE
20,2024-10-26 14:15:59.914339,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugwc_0KQI-HS_6IMfz14AaABAg,Wow I like it,Wow I like it,@AlmaAlba-wf6qh,1,1,2024-10-12 13:16:20,1,1,1,POSITIVE
21,2024-10-26 14:16:01.559822,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzbP8aV3mgluQvsOFB4AaABAg,Kkamiss umuwi ng probinsya. Tapos uuwi ka ng may pasalubong yung sa latang biscuit. Hehehe 😂,Kkamiss umuwi ng probinsya. Tapos uuwi ka ng may pasalubong yung sa latang biscuit. Hehehe 😂,@mommycjgergina1647,1,1,2024-10-12 00:52:33,1,1,1,NEGATIVE
22,2024-10-26 14:16:03.240106,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxMCAs7Z56izTRT-PN4AaABAg,Wow Ganda Po dol byahie Po kami,Wow Ganda Po dol byahie Po kami,@RoldanGomboy,1,1,2024-10-11 20:51:46,1,1,1,POSITIVE
23,2024-10-26 14:16:04.942130,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyfhhxWHgUlGfsBPch4AaABAg,Wow i love this music my fav😍,Wow i love this music my fav😍,@LorenaEsmeralda-xb9vi,1,1,2024-10-11 06:53:09,1,1,1,POSITIVE
24,2024-10-26 14:16:06.530341,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugw9-np283rmledC4DB4AaABAg,Wow ang ganda view at ang sound mo lodz thank you bago mong kaibigan,Wow ang ganda view at ang sound mo lodz thank you bago mong kaibigan,@frutorecanatv844,1,0,2024-10-11 03:00:01,1,1,1,POSITIVE
25,2024-10-26 14:16:08.306606,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzzafOmO7DwxCIwigN4AaABAg,❤❤❤❤❤❤,❤❤❤❤❤❤,@JayanthonyZamora,1,1,2024-10-09 21:12:32,1,0,1,NEGATIVE
26,2024-10-26 14:16:09.121499,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyWbloUIb6hwQVHYw94AaABAg,Ang lawak nga sa subrang lawak sinasakop Pati kabila kalsada pano Kung maykasalubong Ka di nadamay pa sa katangahan Ng nagvideo😂😂😂,Ang lawak nga sa subrang lawak sinasakop Pati kabila kalsada pano Kung maykasalubong Ka di nadamay pa sa katangahan Ng nagvideo😂😂😂,@bermastvlog4001,1,0,2024-10-09 08:42:40,1,3,1,NEGATIVE
27,2024-10-26 14:16:12.357205,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzGse8pjLHAFbfgjx54AaABAg,"To anyone reading this, we may never meet or know each other, but I truly wish you a life full of happiness and all the luck the world has to offer.","To anyone reading this, we may never meet or know each other, but I truly wish you a life full of happiness and all the luck the world has to offer.",@TRENDINGOPMTAGALOG,1,1,2024-10-09 03:20:16,1,1,1,POSITIVE
28,2024-10-26 14:16:14.206777,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzxFBkEO-PSwlQzTyR4AaABAg,nice mix,nice mix,@REGGAENONSTOP2025,1,2,2024-10-09 02:22:42,1,0,1,POSITIVE
29,2024-10-26 14:16:14.860137,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugwe-1d37_EsUMCHhMd4AaABAg,❤,❤,@AgaMaybanting,1,1,2024-10-09 01:52:38,1,0,1,NEGATIVE
30,2024-10-26 14:16:15.578872,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyhenuhybTLy1-d8TZ4AaABAg,Wow nakaka relax kapag ganito ang mapapakinggan mong tugtog habang nagbabyahi ka tapos ang ganda pa ng tanawin nakakawala ng stress🤗🤗🤗,Wow nakaka relax kapag ganito ang mapapakinggan mong tugtog habang nagbabyahi ka tapos ang ganda pa ng tanawin nakakawala ng stress🤗🤗🤗,@MariaCelAgoilo,1,2,2024-10-09 01:38:34,1,2,1,POSITIVE
31,2024-10-26 14:16:18.191954,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyIgUAz612TjYV670t4AaABAg,"pacencya na po curious lang po,bkit parang baliktad ang line na dinadaanan po😊😊","pacencya na po curious lang po,bkit parang baliktad ang line na dinadaanan po😊😊",@JomarieBernales-s9f,1,1,2024-10-08 22:32:55,1,1,1,NEGATIVE
32,2024-10-26 14:16:19.738006,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgwtQ6RBrDkVt4oFXot4AaABAg,Angayos talaga ng mga patogtog yo k manghamangha talaga 😊😊😊😊,Angayos talaga ng mga patogtog yo k manghamangha talaga 😊😊😊😊,@DaniloMarcelino-d9h,1,1,2024-10-08 17:31:16,1,1,1,NEGATIVE
33,2024-10-26 14:16:21.328696,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugx4KwnGM63KOfzDGQp4AaABAg,Ganda talaga pakinggan,Ganda talaga pakinggan,@BABYJEANBESINGA,1,1,2024-10-08 12:26:13,1,1,1,NEGATIVE
34,2024-10-26 14:16:23.080480,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugyp4sV8jhHn3l8zg_t4AaABAg,Sakto NASA bus din,Sakto NASA bus din,@rowenamalana2098,1,1,2024-10-08 11:39:12,1,1,1,NEGATIVE
35,2024-10-26 14:16:24.617973,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugw6i6yCCxOhKp8QBhd4AaABAg,Sa iBang bansa at Yan Kasi dapat nasa kanan lagi tayo,Sa iBang bansa at Yan Kasi dapat nasa kanan lagi tayo,@rowenamalana2098,1,1,2024-10-08 11:36:13,1,1,1,NEGATIVE
36,2024-10-26 14:16:26.227138,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzBZiH9Gn0ioXnMwXB4AaABAg,Napapa tagilid din ako hahahaha 💃💃,Napapa tagilid din ako hahahaha 💃💃,@rowenamalana2098,1,1,2024-10-08 11:34:22,1,1,1,NEGATIVE
37,2024-10-26 14:16:27.928140,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzzmP_fR11ayPw-wc54AaABAg,the best idol mabuhay po kayo🫰🥰🫡🫡,the best idol mabuhay po kayo🫰🥰🫡🫡,@KASIPAGLOVETV,1,1,2024-10-06 09:36:03,1,1,1,POSITIVE
38,2024-10-26 14:16:29.496386,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyvhVUi3V8RcQ_OMYR4AaABAg,👍🥰❤️🙏🎵,👍🥰❤️🙏🎵,@LizaConcha-e4j,1,1,2024-10-06 07:32:57,1,0,1,NEGATIVE
39,2024-10-26 14:16:30.333117,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugxb2JYe0HrbTw8BjbR4AaABAg,"Favorite ko yng mga music 🎵🎵🎵 nahh ynnnn,,❤❤❤❤❤","Favorite ko yng mga music 🎵🎵🎵 nahh ynnnn,,❤❤❤❤❤",@LizaConcha-e4j,1,1,2024-10-06 07:30:31,1,1,1,NEGATIVE
40,2024-10-26 14:16:31.944026,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugw_iYb9UKLbJUtpEBB4AaABAg,Sallam triveling seluruh nusantara.... ❤... 🎉...,Sallam triveling seluruh nusantara.... ❤... 🎉...,@madun2754,1,1,2024-10-06 00:47:05,1,1,1,NEGATIVE
41,2024-10-26 14:16:33.501731,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugy4lG-QUFlIL31jcGp4AaABAg,Ilove... Song... ❤... 🎉 jadi inget masa lalu...,Ilove... Song... ❤... 🎉 jadi inget masa lalu...,@madun2754,1,1,2024-10-06 00:10:07,1,1,1,NEGATIVE
42,2024-10-26 14:16:35.174107,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugw8vw8ExndqmR2yHYl4AaABAg,❤❤❤,❤❤❤,@KarenJoyBootCuevaKaren,1,1,2024-10-04 15:04:02,1,0,1,NEGATIVE
43,2024-10-26 14:16:35.963260,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugypz5JpI_pgf9wIsq14AaABAg,Wow I love this place,Wow I love this place,@evelynnawanao5510,1,4,2024-10-04 03:13:16,1,1,1,POSITIVE
44,2024-10-26 14:16:37.589322,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzusnMvklnMrBZlA3t4AaABAg,"Wow nakakaalis ng problema,,","Wow nakakaalis ng problema,,",@VilmaEreno,1,2,2024-10-03 03:16:41,1,1,1,POSITIVE
45,2024-10-26 14:16:39.208767,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgxIc_DlX5v6XRguhIN4AaABAg,Gandang remix  song,Gandang remix  song,@AngelinLimchaypo,1,2,2024-10-02 23:20:29,1,1,1,POSITIVE
46,2024-10-26 14:16:40.658954,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,Ugyq4LBwIHrVxHhlJMl4AaABAg,Rhd sa Japan siguro yan,Rhd sa Japan siguro yan,@HenryAlejandroGendrano,1,1,2024-10-02 02:01:35,1,1,1,POSITIVE
47,2024-10-26 14:16:42.346359,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzYPtO7LBfxRrpkn1d4AaABAg,"HK..kaya paLa..i wonder y wen making turns, it&#39;s on the wrong side untiL there&#39;s a bus that&#39;s aLso running on the Left side..cLearLy NOT pinas 😁😎","HK..kaya paLa..i wonder y wen making turns, it's on the wrong side untiL there's a bus that's aLso running on the Left side..cLearLy NOT pinas 😁😎",@jay-aRares,1,1,2024-10-02 01:40:35,1,2,1,NEGATIVE
48,2024-10-26 14:16:44.981458,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgyFUcfESZKWvql4NWZ4AaABAg,oh nga ang linis at parang bundok,oh nga ang linis at parang bundok,@marinagumatay6696,1,1,2024-10-02 00:10:36,1,1,1,NEGATIVE
49,2024-10-26 14:16:46.483836,UC57J3B28hGWBb4FIwgBIavw,XKaM7LB1m_Q,UgzpR2Gb5pqQ7EAllh14AaABAg,Ang Ganda NG sound mo idol.. lupit idol..mapapa. Indak ka SA tanog,Ang Ganda NG sound mo idol.. lupit idol..mapapa. Indak ka SA tanog,@RomartDavid-g6w,1,5,2024-10-01 22:48:53,1,1,1,NEGATIVE
50,2024-10-26 14:16:48.428851,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgwgvX0rwwI7q9pigFN4AaABAg,"Vc é um cara fora da realidade, digo ,pra frente . Porém mto engraçado , imagino vc se tornando pai um dia , seu modo de pensar vai entrar em conflito ! . Kkkkk<br><br> Chapado !","Vc é um cara fora da realidade, digo ,pra frente . Porém mto engraçado , imagino vc se tornando pai um dia , seu modo de pensar vai entrar em conflito ! . Kkkkk

 Chapado !",@joserobertogarcia989,1,0,2024-10-26 02:53:52,1,0,1,NEGATIVE
51,2024-10-26 14:16:49.248293,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgyA-2g2hSuWZB8tmMd4AaABAg,"Morria de medo de ir pra China , me ajudou muito ❤ obrigada","Morria de medo de ir pra China , me ajudou muito ❤ obrigada",@priscillaquevedo8067,1,0,2024-10-26 00:29:07,1,0,1,NEGATIVE
52,2024-10-26 14:16:49.990697,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugw0KSUqgJLxhoI09NN4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=284"">4:44</a> Uma GT3RS do nada",4:44 Uma GT3RS do nada,@toninhodaborracharia5308,1,0,2024-10-25 22:14:27,1,0,1,NEGATIVE
53,2024-10-26 14:16:50.758608,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgxuPphe7veg2J3iZwt4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=666"">11:06</a> Passou mó ratão do nd kakaka",11:06 Passou mó ratão do nd kakaka,@Dzitto,1,0,2024-10-24 16:29:20,1,0,1,NEGATIVE
54,2024-10-26 14:16:51.591271,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgwGnTQmuovsdF8QV_h4AaABAg,viajar cansa e envelhece,viajar cansa e envelhece,@mariliafaioli1316,1,0,2024-10-24 13:06:33,1,0,1,POSITIVE
55,2024-10-26 14:16:52.349748,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgykEoH8W5xaZzCcjYB4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=989"">16:29</a> e eis que a audiencia caiu",16:29 e eis que a audiencia caiu,@prettypleasewolf,1,0,2024-10-24 00:26:18,1,0,1,NEGATIVE
56,2024-10-26 14:16:53.210730,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugwun_Z7oqWKmLeBSYp4AaABAg,"olha o tamanho do rato em &quot;<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=666"">11:06</a>&quot;, é gabiru essa desgraça kkkkkkk","olha o tamanho do rato em ""11:06"", é gabiru essa desgraça kkkkkkk",@joelbaptistalima,1,0,2024-10-23 17:01:55,1,0,1,NEGATIVE
57,2024-10-26 14:16:54.049780,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgzCTbJDx892lvcX6Vt4AaABAg,olha o tamanho desse traseiro chines macacos me mordam 😮,olha o tamanho desse traseiro chines macacos me mordam 😮,@gabriel_2557,1,0,2024-10-23 01:33:50,1,0,1,NEGATIVE
58,2024-10-26 14:16:54.803351,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgyaFqysCXgTuC3pmWV4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=250"">4:10</a> , VIAJAR TEM COISAS BOAS TBM BAKA, ESSES PERRENGUES SÃO BONS PARA CONTAR QUANDO VOLTA, O LEGAL É SEMPRE QUE TIRARA 10 DIAS DE FOLGA, VC TIRAR 5 DIAS PARA VIAJAR E 5 DIAS PARA FICAR SEM FAZER NADA...","4:10 , VIAJAR TEM COISAS BOAS TBM BAKA, ESSES PERRENGUES SÃO BONS PARA CONTAR QUANDO VOLTA, O LEGAL É SEMPRE QUE TIRARA 10 DIAS DE FOLGA, VC TIRAR 5 DIAS PARA VIAJAR E 5 DIAS PARA FICAR SEM FAZER NADA...",@jrmartelinhodeouro-wp6tt,1,0,2024-10-22 16:40:09,1,0,1,NEGATIVE
59,2024-10-26 14:16:55.525421,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugwle8Lrb33n_moGgGp4AaABAg,Valeu! Ficou interessante. Valeu!,Valeu! Ficou interessante. Valeu!,@marciopereira3880,1,0,2024-10-22 04:36:28,1,0,1,POSITIVE
60,2024-10-26 14:16:56.232424,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgxLb24VjGcrSV00pB14AaABAg,Entao devo diminuir minhas espectativas quanto ao sexo?,Entao devo diminuir minhas espectativas quanto ao sexo?,@Henrique-en9ml,1,0,2024-10-22 01:44:47,1,0,1,NEGATIVE
61,2024-10-26 14:16:56.925893,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugz13WmB6lnISFtGY3x4AaABAg,Mais tira foto,Mais tira foto,@josegregoriofuenzalidamach1817,1,0,2024-10-21 23:01:54,1,0,1,NEGATIVE
62,2024-10-26 14:16:57.677509,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugyu0tToptby8ZT171t4AaABAg,Kkkkk esse cara é muito loko.<br>Primeira vez que vi seus vídeos.. gostei mlk fala mesmo.kk😂🎉<br><br>Vou me inscrever nesse canal..,"Kkkkk esse cara é muito loko.
Primeira vez que vi seus vídeos.. gostei mlk fala mesmo.kk😂🎉

Vou me inscrever nesse canal..",@fabioleandromarques2776,1,0,2024-10-21 21:33:04,1,0,1,NEGATIVE
63,2024-10-26 14:16:58.497370,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugwh-IOpMFMr34TloqZ4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=264"">4:24</a> só do cara vim com esses papinhos de que sexo e viagem é igual e que não é tão bom, já mostra que é um virjão isolado kkkkkkkk ja era visível que esse cara é assim, mas depois dessa, , Lá ele apenas","4:24 só do cara vim com esses papinhos de que sexo e viagem é igual e que não é tão bom, já mostra que é um virjão isolado kkkkkkkk ja era visível que esse cara é assim, mas depois dessa, , Lá ele apenas",@cssantos7281,1,0,2024-10-21 07:23:23,1,0,1,NEGATIVE
64,2024-10-26 14:16:59.357547,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgxfXFZVOqyEkWcDLeR4AaABAg,"Não viajem para a Tailândia lá vc vai ser morto,procure na Internet assassinato de turista na Tailândia.","Não viajem para a Tailândia lá vc vai ser morto,procure na Internet assassinato de turista na Tailândia.",@jucaferreira3541,1,0,2024-10-20 22:21:13,1,0,1,NEGATIVE
65,2024-10-26 14:17:00.050685,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgycfI9GFP3b123bSoV4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=1452"">24:12</a> Em Shanghai eu estava no aeroporto e uma chinoca colocou uma série para assistir do meu lado num volune absurdo. Que se foda, sou brasileiro, peguei minha caixinha jbl e liguei um samba muito alto da lado dela. Conclusão: ela saiu fora","24:12 Em Shanghai eu estava no aeroporto e uma chinoca colocou uma série para assistir do meu lado num volune absurdo. Que se foda, sou brasileiro, peguei minha caixinha jbl e liguei um samba muito alto da lado dela. Conclusão: ela saiu fora",,1,0,2024-10-20 16:16:38,1,0,1,NEGATIVE
66,2024-10-26 14:17:00.775259,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgypwjA6tk9lF8S17Nd4AaABAg,"<a href=""https://www.youtube.com/watch?v=i7-jNh6maTM&amp;t=810"">13:30</a> o momento mais engraçado do vídeo",13:30 o momento mais engraçado do vídeo,,1,0,2024-10-20 12:38:54,1,0,1,NEGATIVE
67,2024-10-26 14:17:01.563792,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugw81kRbpbDdkE2w3vN4AaABAg,Acho legal essas suas caminhadas Blade Runner,Acho legal essas suas caminhadas Blade Runner,,1,0,2024-10-20 12:27:57,1,0,1,NEGATIVE
68,2024-10-26 14:17:02.377867,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,UgyKqtHE1JEwVmUOLBt4AaABAg,Hong Kong na época do domínio colonial Inglês após  a guerra do ópio era uma maravilha. Agora voltando a China o imperialismo vai criticar tudo.,Hong Kong na época do domínio colonial Inglês após  a guerra do ópio era uma maravilha. Agora voltando a China o imperialismo vai criticar tudo.,@sebastiaopalmeiracorreacor1363,1,0,2024-10-19 02:16:21,1,0,1,NEGATIVE
69,2024-10-26 14:17:03.097969,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugy2DVa5w2eZzNdZWZV4AaABAg,Esse fulero fica fazendo essa tumb só pra gente clicar.,Esse fulero fica fazendo essa tumb só pra gente clicar.,@Witor99,1,0,2024-10-18 02:26:36,1,0,1,NEGATIVE
70,2024-10-26 14:17:03.868903,UCK3IOOEUXQT-dAl3jy-xkaw,i7-jNh6maTM,Ugxl9TaYkR0rEjVKTjF4AaABAg,Ja sei que é bem virjao,Ja sei que é bem virjao,@derickramos2338,1,0,2024-10-18 00:31:19,1,0,1,NEGATIVE
